STATE/UT,YEAR,CAUSE,CASES,January,February,March,April,May,June,July,August,September,October,November,December
A & N ISLANDS,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Total,200,24,23,16,15,13,16,14,25,14,15,14,11
CHANDIGARH,2013,Road Accidents,409,36,27,38,43,40,34,38,31,30,31,37,24
CHANDIGARH,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Total,409,36,27,38,43,40,34,38,31,30,31,37,24
D & N HAVELI,2013,Road Accidents,91,11,5,11,8,5,7,6,8,8,9,5,8
D & N HAVELI,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Total,91,11,5,11,8,5,7,6,8,8,9,5,8
DAMAN & DIU,2013,Road Accidents,30,6,2,2,4,1,4,1,1,5,2,2,0
DAMAN & DIU,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Total,30,6,2,2,4,1,4,1,1,5,2,2,0
DELHI (UT),2013,Road Accidents,7569,590,553,613,589,635,612,644,593,622,687,703,728
DELHI (UT),2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI (UT),2013,Other Railway Accidents,1285,92,88,98,100,123,114,123,117,115,106,110,99
DELHI (UT),2013,Total,8854,682,641,711,689,758,726,767,710,737,793,813,827
LAKSHADWEEP,2013,Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2013,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2013,Road Accidents,1451,102,108,120,139,127,128,126,125,134,129,106,107
PUDUCHERRY,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2013,Other Railway Accidents,11,0,2,1,0,1,5,1,0,0,0,1,0
STATE/UT,Year,TYPE,TOTAL,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
ANDHRA PRADESH,2001,Road Accidents,27188,2204,2437,2405,2351,2550,2284,2025,2077,2070,2276,2122,2387
ANDHRA PRADESH,2001,Rail-Road Accidents,623,47,40,52,50,51,48,55,54,55,72,62,37
ANDHRA PRADESH,2001,Other Railway Accidents,674,43,48,61,71,51,65,59,61,54,62,41,58
ANDHRA PRADESH,2001,Total,28485,2294,2525,2518,2472,2652,2397,2139,2192,2179,2410,2225,2482
ANDHRA PRADESH,2002,Road Accidents,32577,2492,2453,2835,2786,3195,2880,2645,2607,2555,2624,2646,2859
ANDHRA PRADESH,2002,Rail-Road Accidents,4,0,0,0,0,0,0,0,0,1,3,0,0
ANDHRA PRADESH,2002,Other Railway Accidents,1185,104,97,115,138,112,106,95,93,101,79,87,58
ANDHRA PRADESH,2002,Total,33766,2596,2550,2950,2924,3307,2986,2740,2700,2657,2706,2733,2917
ANDHRA PRADESH,2003,Road Accidents,34537,2783,2569,2870,2635,3265,2924,2657,2934,2767,2881,3037,3215
ANDHRA PRADESH,2003,Rail-Road Accidents,291,25,18,26,13,32,18,44,36,16,28,19,16
ANDHRA PRADESH,2003,Other Railway Accidents,490,53,49,32,40,43,45,47,38,41,37,32,33
ANDHRA PRADESH,2003,Total,35318,2861,2636,2928,2688,3340,2987,2748,3008,2824,2946,3088,3264
ANDHRA PRADESH,2004,Road Accidents,37078,3019,3131,3211,3100,3257,2942,2827,3079,2972,3041,3129,3370
ANDHRA PRADESH,2004,Rail-Road Accidents,119,11,9,10,9,8,10,9,11,12,12,8,10
ANDHRA PRADESH,2004,Other Railway Accidents,992,44,88,80,90,80,80,84,92,102,84,88,80
ANDHRA PRADESH,2004,Total,38189,3074,3228,3301,3199,3345,3032,2920,3182,3086,3137,3225,3460
ANDHRA PRADESH,2005,Road Accidents,37289,3189,3193,3182,3056,3612,3247,2907,3028,2742,2928,2975,3230
ANDHRA PRADESH,2005,Rail-Road Accidents,6,0,0,1,1,0,1,1,1,0,0,0,1
ANDHRA PRADESH,2005,Other Railway Accidents,1390,76,122,133,119,115,137,120,122,121,107,112,106
ANDHRA PRADESH,2005,Total,38685,3265,3315,3316,3176,3727,3385,3028,3151,2863,3035,3087,3337
ANDHRA PRADESH,2006,Road Accidents,41323,3568,3224,3496,3634,3962,3400,3334,3311,3232,3306,3268,3588
ANDHRA PRADESH,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,Other Railway Accidents,1958,150,174,170,164,177,176,166,147,160,158,166,150
ANDHRA PRADESH,2006,Total,43281,3718,3398,3666,3798,4139,3576,3500,3458,3392,3464,3434,3738
ANDHRA PRADESH,2007,Road Accidents,43594,3978,3530,3728,3842,4099,3594,3519,3348,3246,3447,3617,3646
ANDHRA PRADESH,2007,Rail-Road Accidents,3,0,0,0,1,0,0,1,1,0,0,0,0
ANDHRA PRADESH,2007,Other Railway Accidents,2074,168,164,175,176,175,180,181,161,178,184,174,158
ANDHRA PRADESH,2007,Total,45671,4146,3694,3903,4019,4274,3774,3701,3510,3424,3631,3791,3804
ANDHRA PRADESH,2008,Road Accidents,42106,3594,3468,3848,3967,3811,3391,3260,3324,3169,3352,3319,3603
ANDHRA PRADESH,2008,Rail-Road Accidents,11,1,0,2,0,1,1,1,1,1,1,0,2
ANDHRA PRADESH,2008,Other Railway Accidents,1945,109,126,143,126,154,215,165,228,157,181,174,167
ANDHRA PRADESH,2008,Total,44062,3704,3594,3993,4093,3966,3607,3426,3553,3327,3534,3493,3772
ANDHRA PRADESH,2009,Road Accidents,42011,3682,3494,3775,3450,4048,3763,3412,3488,3017,3253,3298,3331
ANDHRA PRADESH,2009,Rail-Road Accidents,4,0,0,0,0,1,2,1,0,0,0,0,0
ANDHRA PRADESH,2009,Other Railway Accidents,1402,110,92,113,132,131,112,121,142,110,121,110,108
ANDHRA PRADESH,2009,Total,43417,3792,3586,3888,3582,4180,3877,3534,3630,3127,3374,3408,3439
ANDHRA PRADESH,2010,Road Accidents,42428,3515,3434,3749,3857,3960,3765,3206,3416,3115,3439,3397,3575
ANDHRA PRADESH,2010,Rail-Road Accidents,690,54,51,52,60,63,62,62,63,62,65,54,42
ANDHRA PRADESH,2010,Other Railway Accidents,873,76,66,63,81,68,82,71,62,89,79,69,67
ANDHRA PRADESH,2010,Total,43991,3645,3551,3864,3998,4091,3909,3339,3541,3266,3583,3520,3684
ANDHRA PRADESH,2011,Road Accidents,41066,3540,3195,3584,3396,3916,3793,3237,3106,3067,3398,3442,3392
ANDHRA PRADESH,2011,Rail-Road Accidents,675,46,51,58,62,69,45,62,52,58,61,48,63
ANDHRA PRADESH,2011,Other Railway Accidents,1362,105,105,104,115,141,141,98,114,114,108,121,96
ANDHRA PRADESH,2011,Total,43103,3691,3351,3746,3573,4126,3979,3397,3272,3239,3567,3611,3551
ANDHRA PRADESH,2012,Road Accidents,39344,3347,3390,3693,3589,3250,3187,3160,3177,2893,3205,2985,3468
ANDHRA PRADESH,2012,Rail-Road Accidents,3,0,2,0,0,0,0,0,1,0,0,0,0
ANDHRA PRADESH,2012,Other Railway Accidents,2692,224,208,242,222,228,224,209,206,226,257,205,241
ANDHRA PRADESH,2012,Total,42039,3571,3600,3935,3811,3478,3411,3369,3384,3119,3462,3190,3709
ARUNACHAL PRADESH,2001,Road Accidents,236,19,17,21,16,19,14,21,14,23,17,30,25
ARUNACHAL PRADESH,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,Total,236,19,17,21,16,19,14,21,14,23,17,30,25
ARUNACHAL PRADESH,2002,Road Accidents,235,25,16,21,23,16,19,11,17,18,21,25,23
ARUNACHAL PRADESH,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,Total,235,25,16,21,23,16,19,11,17,18,21,25,23
ARUNACHAL PRADESH,2003,Road Accidents,229,16,24,22,13,18,17,19,21,23,18,16,22
ARUNACHAL PRADESH,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2003,Total,229,16,24,22,13,18,17,19,21,23,18,16,22
ARUNACHAL PRADESH,2004,Road Accidents,217,23,24,23,11,15,11,14,8,21,29,17,21
ARUNACHAL PRADESH,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2004,Total,217,23,24,23,11,15,11,14,8,21,29,17,21
ARUNACHAL PRADESH,2005,Road Accidents,237,26,14,29,12,17,20,20,14,19,21,24,21
ARUNACHAL PRADESH,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2005,Total,237,26,14,29,12,17,20,20,14,19,21,24,21
ARUNACHAL PRADESH,2006,Road Accidents,243,14,20,17,19,20,31,11,25,18,25,21,22
ARUNACHAL PRADESH,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2006,Total,243,14,20,17,19,20,31,11,25,18,25,21,22
ARUNACHAL PRADESH,2007,Road Accidents,230,22,20,26,19,25,19,14,15,22,18,11,19
ARUNACHAL PRADESH,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2007,Total,230,22,20,26,19,25,19,14,15,22,18,11,19
ARUNACHAL PRADESH,2008,Road Accidents,261,20,21,18,16,33,24,13,18,27,20,24,27
ARUNACHAL PRADESH,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2008,Total,261,20,21,18,16,33,24,13,18,27,20,24,27
ARUNACHAL PRADESH,2009,Road Accidents,261,20,21,18,16,33,24,13,18,27,20,24,27
ARUNACHAL PRADESH,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,Total,261,20,21,18,16,33,24,13,18,27,20,24,27
ARUNACHAL PRADESH,2010,Road Accidents,280,31,33,20,26,28,23,14,15,18,20,23,29
ARUNACHAL PRADESH,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,Total,280,31,33,20,26,28,23,14,15,18,20,23,29
ARUNACHAL PRADESH,2011,Road Accidents,263,22,24,30,22,29,9,28,22,16,25,15,21
ARUNACHAL PRADESH,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,Total,263,22,24,30,22,29,9,28,22,16,25,15,21
ARUNACHAL PRADESH,2012,Road Accidents,204,17,21,24,16,11,13,20,18,14,16,20,14
ARUNACHAL PRADESH,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,Total,204,17,21,24,16,11,13,20,18,14,16,20,14
ASSAM,2001,Road Accidents,1806,141,127,202,173,176,137,140,160,132,140,132,146
ASSAM,2001,Rail-Road Accidents,30,3,2,1,4,1,1,3,5,1,5,2,2
ASSAM,2001,Other Railway Accidents,213,13,13,20,15,13,20,23,21,24,17,13,21
ASSAM,2001,Total,2049,157,142,223,192,190,158,166,186,157,162,147,169
ASSAM,2002,Road Accidents,2243,196,210,185,159,182,163,144,237,180,180,222,185
ASSAM,2002,Rail-Road Accidents,10,2,0,0,5,1,0,0,2,0,0,0,0
ASSAM,2002,Other Railway Accidents,322,30,21,24,29,21,29,26,22,30,35,33,22
ASSAM,2002,Total,2575,228,231,209,193,204,192,170,261,210,215,255,207
ASSAM,2003,Road Accidents,2145,194,143,193,180,169,180,162,167,205,188,180,184
ASSAM,2003,Rail-Road Accidents,10,2,1,2,0,1,1,1,1,0,0,1,0
ASSAM,2003,Other Railway Accidents,345,36,20,22,29,36,21,29,31,40,35,23,23
ASSAM,2003,Total,2500,232,164,217,209,206,202,192,199,245,223,204,207
ASSAM,2004,Road Accidents,2002,183,172,170,160,176,168,118,170,157,167,182,179
ASSAM,2004,Rail-Road Accidents,27,3,6,2,0,2,3,3,2,1,2,2,1
ASSAM,2004,Other Railway Accidents,372,21,29,41,51,42,31,20,42,34,11,40,10
ASSAM,2004,Total,2401,207,207,213,211,220,202,141,214,192,180,224,190
ASSAM,2005,Road Accidents,3656,307,334,317,287,306,308,297,354,286,311,287,262
ASSAM,2005,Rail-Road Accidents,47,4,2,3,2,4,3,4,2,4,4,9,6
ASSAM,2005,Other Railway Accidents,318,18,31,26,23,27,25,34,33,27,28,26,20
ASSAM,2005,Total,4021,329,367,346,312,337,336,335,389,317,343,322,288
ASSAM,2006,Road Accidents,4080,297,333,365,318,363,352,370,289,335,325,378,355
ASSAM,2006,Rail-Road Accidents,90,10,5,11,8,4,11,7,15,4,3,4,8
ASSAM,2006,Other Railway Accidents,450,38,33,41,31,33,32,38,34,39,50,40,41
ASSAM,2006,Total,4620,345,371,417,357,400,395,415,338,378,378,422,404
ASSAM,2007,Road Accidents,3995,383,358,392,395,375,331,299,305,296,308,275,278
ASSAM,2007,Rail-Road Accidents,42,9,4,2,6,4,4,4,2,3,2,1,1
ASSAM,2007,Other Railway Accidents,247,12,13,22,16,31,25,13,25,32,20,17,21
ASSAM,2007,Total,4284,404,375,416,417,410,360,316,332,331,330,293,300
ASSAM,2008,Road Accidents,4262,375,381,399,363,339,326,371,370,344,308,346,340
ASSAM,2008,Rail-Road Accidents,23,8,5,2,3,1,0,1,2,0,0,1,0
ASSAM,2008,Other Railway Accidents,303,15,18,25,22,22,36,59,18,25,22,15,26
ASSAM,2008,Total,4588,398,404,426,388,362,362,431,390,369,330,362,366
ASSAM,2009,Road Accidents,4585,388,385,400,377,394,376,393,331,387,405,367,382
ASSAM,2009,Rail-Road Accidents,91,14,6,4,6,6,4,7,6,8,6,7,17
ASSAM,2009,Other Railway Accidents,425,37,32,32,30,41,37,33,50,48,26,29,30
ASSAM,2009,Total,5101,439,423,436,413,441,417,433,387,443,437,403,429
ASSAM,2010,Road Accidents,5485,418,450,496,452,396,416,455,454,504,525,451,468
ASSAM,2010,Rail-Road Accidents,27,3,0,3,3,6,3,4,1,1,0,1,2
ASSAM,2010,Other Railway Accidents,441,28,35,42,36,39,46,35,36,39,41,37,27
ASSAM,2010,Total,5953,449,485,541,491,441,465,494,491,544,566,489,497
ASSAM,2011,Road Accidents,6569,554,545,607,515,518,557,502,515,532,551,590,583
ASSAM,2011,Rail-Road Accidents,29,6,2,4,4,4,2,3,1,2,0,0,1
ASSAM,2011,Other Railway Accidents,482,28,28,39,45,41,54,41,29,42,53,45,37
ASSAM,2011,Total,7080,588,575,650,564,563,613,546,545,576,604,635,621
ASSAM,2012,Road Accidents,6535,590,599,605,601,567,536,486,458,418,544,543,588
ASSAM,2012,Rail-Road Accidents,29,3,3,1,3,1,3,2,3,1,5,0,4
ASSAM,2012,Other Railway Accidents,500,37,44,38,28,31,46,48,49,61,36,48,34
ASSAM,2012,Total,7064,630,646,644,632,599,585,536,510,480,585,591,626
BIHAR,2001,Road Accidents,4334,325,361,474,336,528,417,329,336,317,289,317,305
BIHAR,2001,Rail-Road Accidents,241,18,15,17,24,25,22,20,17,21,18,21,23
BIHAR,2001,Other Railway Accidents,569,42,43,45,49,60,58,55,41,48,48,41,39
BIHAR,2001,Total,5144,385,419,536,409,613,497,404,394,386,355,379,367
BIHAR,2002,Road Accidents,4372,380,366,401,391,560,477,362,303,227,290,326,289
BIHAR,2002,Rail-Road Accidents,273,16,16,25,19,28,20,22,30,32,18,27,20
BIHAR,2002,Other Railway Accidents,600,41,33,47,43,52,52,54,72,58,44,41,63
BIHAR,2002,Total,5245,437,415,473,453,640,549,438,405,317,352,394,372
BIHAR,2003,Road Accidents,3902,337,340,368,359,440,429,326,241,255,263,258,286
BIHAR,2003,Rail-Road Accidents,1,1,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2003,Other Railway Accidents,803,56,57,44,73,88,73,79,69,83,59,66,56
BIHAR,2003,Total,4706,394,397,412,432,528,502,405,310,338,322,324,342
BIHAR,2004,Road Accidents,3890,296,349,407,308,413,392,253,258,320,290,297,307
BIHAR,2004,Rail-Road Accidents,111,11,9,8,12,9,9,10,9,7,8,8,11
BIHAR,2004,Other Railway Accidents,752,48,43,59,64,63,74,77,64,75,72,59,54
BIHAR,2004,Total,4753,355,401,474,384,485,475,340,331,402,370,364,372
BIHAR,2005,Road Accidents,3746,262,254,354,340,463,381,310,263,241,255,301,322
BIHAR,2005,Rail-Road Accidents,189,10,10,18,13,20,23,16,11,18,14,21,15
BIHAR,2005,Other Railway Accidents,766,53,56,55,84,55,95,79,61,54,57,54,63
BIHAR,2005,Total,4701,325,320,427,437,538,499,405,335,313,326,376,400
BIHAR,2006,Road Accidents,4382,306,348,395,389,439,386,363,341,320,381,380,334
BIHAR,2006,Rail-Road Accidents,187,11,11,14,18,12,24,19,22,11,14,16,15
BIHAR,2006,Other Railway Accidents,1230,91,78,82,93,135,104,90,103,117,127,116,94
BIHAR,2006,Total,5799,408,437,491,500,586,514,472,466,448,522,512,443
BIHAR,2007,Road Accidents,5631,443,464,505,518,635,551,438,375,347,427,484,444
BIHAR,2007,Rail-Road Accidents,6,0,1,1,1,1,0,1,0,0,0,1,0
BIHAR,2007,Other Railway Accidents,1319,82,92,96,105,135,120,114,97,121,139,128,90
BIHAR,2007,Total,6956,525,557,602,624,771,671,553,472,468,566,613,534
BIHAR,2008,Road Accidents,6180,447,485,612,583,621,529,441,465,422,487,591,497
BIHAR,2008,Rail-Road Accidents,7,1,1,1,1,0,0,1,0,2,0,0,0
BIHAR,2008,Other Railway Accidents,1197,66,80,106,92,93,100,111,115,121,128,106,79
BIHAR,2008,Total,7384,514,566,719,676,714,629,553,580,545,615,697,576
BIHAR,2009,Road Accidents,8366,543,706,754,595,925,911,712,592,574,634,699,721
BIHAR,2009,Rail-Road Accidents,48,2,3,5,10,2,2,3,3,5,3,5,5
BIHAR,2009,Other Railway Accidents,1134,57,75,120,112,113,111,100,116,85,92,76,77
BIHAR,2009,Total,9548,602,784,879,717,1040,1024,815,711,664,729,780,803
BIHAR,2010,Road Accidents,8441,610,698,722,650,833,1034,723,689,546,606,665,665
BIHAR,2010,Rail-Road Accidents,43,3,4,5,9,0,8,4,2,3,1,0,4
BIHAR,2010,Other Railway Accidents,1224,72,85,83,126,105,119,128,119,106,117,78,86
BIHAR,2010,Total,9708,685,787,810,785,938,1161,855,810,655,724,743,755
BIHAR,2011,Road Accidents,9355,750,808,964,737,964,880,769,644,618,759,773,689
BIHAR,2011,Rail-Road Accidents,10,3,0,0,1,2,0,1,1,0,0,0,2
BIHAR,2011,Other Railway Accidents,1831,125,111,146,142,172,166,178,169,145,180,169,128
BIHAR,2011,Total,11196,878,919,1110,880,1138,1046,948,814,763,939,942,819
BIHAR,2012,Road Accidents,10320,799,905,915,1027,909,1003,822,787,728,763,837,825
BIHAR,2012,Rail-Road Accidents,264,23,18,22,17,21,22,23,14,27,22,32,23
BIHAR,2012,Other Railway Accidents,1366,104,110,94,99,124,113,128,135,132,110,107,110
BIHAR,2012,Total,11950,926,1033,1031,1143,1054,1138,973,936,887,895,976,958
CHHATTISGARH,2001,Road Accidents,4987,428,385,403,448,504,425,367,371,400,425,393,438
CHHATTISGARH,2001,Rail-Road Accidents,8,0,2,1,2,1,0,0,0,0,1,1,0
CHHATTISGARH,2001,Other Railway Accidents,270,17,13,25,29,24,26,21,19,23,25,25,23
CHHATTISGARH,2001,Total,5265,445,400,429,479,529,451,388,390,423,451,419,461
CHHATTISGARH,2002,Road Accidents,5801,477,439,522,511,584,468,434,444,448,515,453,506
CHHATTISGARH,2002,Rail-Road Accidents,4,1,0,1,1,0,0,1,0,0,0,0,0
CHHATTISGARH,2002,Other Railway Accidents,366,28,15,35,31,26,48,30,25,38,30,26,34
CHHATTISGARH,2002,Total,6171,506,454,558,543,610,516,465,469,486,545,479,540
CHHATTISGARH,2003,Road Accidents,7023,649,565,589,647,629,613,586,524,501,595,543,582
CHHATTISGARH,2003,Rail-Road Accidents,53,3,5,2,3,5,6,5,7,2,5,6,4
CHHATTISGARH,2003,Other Railway Accidents,386,16,28,31,47,44,33,27,31,38,35,21,35
CHHATTISGARH,2003,Total,7462,668,598,622,697,678,652,618,562,541,635,570,621
CHHATTISGARH,2004,Road Accidents,6075,553,532,534,586,592,501,409,437,439,532,483,477
CHHATTISGARH,2004,Rail-Road Accidents,118,8,18,12,7,11,9,14,10,10,5,6,8
CHHATTISGARH,2004,Other Railway Accidents,330,18,24,24,28,26,30,33,31,32,25,29,30
CHHATTISGARH,2004,Total,6523,579,574,570,621,629,540,456,478,481,562,518,515
CHHATTISGARH,2005,Road Accidents,5996,472,513,537,513,566,530,558,421,435,496,483,472
CHHATTISGARH,2005,Rail-Road Accidents,67,2,3,4,9,7,11,6,9,2,6,1,7
CHHATTISGARH,2005,Other Railway Accidents,416,26,28,20,45,43,31,42,38,50,30,30,33
CHHATTISGARH,2005,Total,6479,500,544,561,567,616,572,606,468,487,532,514,512
CHHATTISGARH,2006,Road Accidents,7111,624,611,607,631,710,598,534,534,507,575,607,573
CHHATTISGARH,2006,Rail-Road Accidents,39,1,1,4,5,1,2,5,5,3,3,5,4
CHHATTISGARH,2006,Other Railway Accidents,462,33,32,35,45,47,47,33,39,40,38,39,34
CHHATTISGARH,2006,Total,7612,658,644,646,681,758,647,572,578,550,616,651,611
CHHATTISGARH,2007,Road Accidents,7837,787,632,638,729,701,630,619,544,642,660,599,656
CHHATTISGARH,2007,Rail-Road Accidents,15,0,3,3,3,0,0,1,1,0,1,1,2
CHHATTISGARH,2007,Other Railway Accidents,493,36,30,41,30,57,42,47,42,44,38,46,40
CHHATTISGARH,2007,Total,8345,823,665,682,762,758,672,667,587,686,699,646,698
CHHATTISGARH,2008,Road Accidents,8769,773,712,746,859,848,704,659,589,706,783,655,735
CHHATTISGARH,2008,Rail-Road Accidents,26,3,2,1,3,3,3,3,3,2,1,1,1
CHHATTISGARH,2008,Other Railway Accidents,503,45,38,39,52,45,33,48,50,41,45,31,36
CHHATTISGARH,2008,Total,9298,821,752,786,914,896,740,710,642,749,829,687,772
CHHATTISGARH,2009,Road Accidents,7913,721,689,643,689,710,670,639,595,617,642,659,639
CHHATTISGARH,2009,Rail-Road Accidents,89,10,12,9,7,8,12,3,8,3,6,5,6
CHHATTISGARH,2009,Other Railway Accidents,459,36,40,38,38,52,33,41,39,51,38,28,25
CHHATTISGARH,2009,Total,8461,767,741,690,734,770,715,683,642,671,686,692,670
CHHATTISGARH,2010,Road Accidents,7802,670,627,671,652,705,612,655,606,605,684,655,660
CHHATTISGARH,2010,Rail-Road Accidents,617,51,50,55,53,53,54,52,50,51,48,52,48
CHHATTISGARH,2010,Other Railway Accidents,563,38,37,37,32,51,56,58,53,51,51,58,41
CHHATTISGARH,2010,Total,8982,759,714,763,737,809,722,765,709,707,783,765,749
CHHATTISGARH,2011,Road Accidents,9195,868,795,804,725,903,793,747,660,636,770,723,771
CHHATTISGARH,2011,Rail-Road Accidents,118,8,7,8,4,12,13,6,9,8,24,10,9
CHHATTISGARH,2011,Other Railway Accidents,584,38,39,59,42,47,47,44,48,52,63,57,48
CHHATTISGARH,2011,Total,9897,914,841,871,771,962,853,797,717,696,857,790,828
CHHATTISGARH,2012,Road Accidents,13511,1253,1161,1175,1188,1182,1121,1103,990,1016,1107,1084,1131
CHHATTISGARH,2012,Rail-Road Accidents,43,5,1,6,5,3,3,2,5,2,5,2,4
CHHATTISGARH,2012,Other Railway Accidents,509,37,35,37,34,58,45,41,43,49,44,38,48
CHHATTISGARH,2012,Total,14063,1295,1197,1218,1227,1243,1169,1146,1038,1067,1156,1124,1183
GOA,2001,Road Accidents,1375,124,115,111,108,131,95,95,101,108,117,122,148
GOA,2001,Rail-Road Accidents,3,0,0,1,1,0,0,0,0,0,0,0,1
GOA,2001,Other Railway Accidents,22,1,2,2,1,1,1,3,1,2,4,1,3
GOA,2001,Total,1400,125,117,114,110,132,96,98,102,110,121,123,152
GOA,2002,Road Accidents,1201,99,100,95,113,105,74,65,95,102,113,121,119
GOA,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2002,Other Railway Accidents,38,2,4,1,4,5,4,4,2,1,3,4,4
GOA,2002,Total,1239,101,104,96,117,110,78,69,97,103,116,125,123
GOA,2003,Road Accidents,1678,173,151,151,121,166,113,99,121,116,146,166,155
GOA,2003,Rail-Road Accidents,18,2,0,2,4,0,3,1,1,0,1,2,2
GOA,2003,Other Railway Accidents,13,0,0,3,2,1,2,0,1,1,1,1,1
GOA,2003,Total,1709,175,151,156,127,167,118,100,123,117,148,169,158
GOA,2004,Road Accidents,1542,148,127,122,130,143,104,104,120,121,120,139,164
GOA,2004,Rail-Road Accidents,9,1,1,0,1,0,0,1,0,2,2,0,1
GOA,2004,Other Railway Accidents,26,2,2,4,4,0,6,0,0,0,2,2,4
GOA,2004,Total,1577,151,130,126,135,143,110,105,120,123,124,141,169
GOA,2005,Road Accidents,1069,93,75,88,100,100,80,64,81,79,84,110,115
GOA,2005,Rail-Road Accidents,2,0,0,0,1,0,0,0,1,0,0,0,0
GOA,2005,Other Railway Accidents,12,1,1,1,2,1,1,2,1,1,0,0,1
GOA,2005,Total,1083,94,76,89,103,101,81,66,83,80,84,110,116
GOA,2006,Road Accidents,3749,341,323,314,300,408,268,263,272,291,303,307,359
GOA,2006,Rail-Road Accidents,7,0,0,3,0,2,0,0,0,1,1,0,0
GOA,2006,Other Railway Accidents,28,1,3,3,2,3,1,4,2,2,3,3,1
GOA,2006,Total,3784,342,326,320,302,413,269,267,274,294,307,310,360
GOA,2007,Road Accidents,4022,365,362,332,375,392,299,245,274,335,320,353,370
GOA,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
